Month / ,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Year,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
Jan-14,65.58,55.74,46.16,55.55,52.11,48.42,99.84,87.35,62.84,6.16,2.69,0.58,29.41,29.36,29.29,0.00
Feb-14,71.32,59.77,47.18,56.11,52.60,48.46,97.29,77.87,48.96,11.71,4.00,0.25,29.28,29.22,29.15,0.00
Mar-14,82.13,71.19,61.29,62.19,58.74,54.77,91.23,68.36,42.32,10.00,4.57,0.48,17.95,13.58,11.29,0.00
Apr-14,94.27,83.48,70.67,63.83,59.53,55.57,71.77,47.82,29.23,12.20,5.58,1.07,0.00,0.00,0.00,0.00
May-14,99.48,88.58,77.03,69.97,65.63,61.19,73.00,49.97,31.00,10.94,5.29,0.81,0.00,0.00,0.00,0.00
Jun-14,103.67,94.54,85.07,75.50,72.01,68.33,68.00,51.35,36.30,13.77,6.22,0.70,0.00,0.00,0.00,0.00
Jul-14,96.52,89.43,80.97,79.48,77.48,75.06,82.87,68.09,52.81,11.97,4.93,0.65,0.00,0.00,0.00,0.00
Aug-14,94.74,87.99,77.42,78.10,75.75,73.52,80.81,66.53,50.97,9.87,4.59,0.87,0.00,0.00,0.00,0.00
Sep-14,93.47,85.31,74.17,76.53,73.61,70.57,85.17,67.85,47.50,13.90,4.85,0.40,0.00,0.00,0.00,0.00
Oct-14,90.97,80.55,68.55,69.42,66.02,62.06,86.52,63.37,38.65,5.55,1.66,0.00,0.00,0.00,0.00,0.00
Nov-14,83.10,67.97,56.73,57.20,52.95,47.87,86.53,62.91,30.67,6.97,1.97,0.00,0.00,0.00,0.00,0.00
Dec-14,70.90,57.57,48.52,53.65,47.80,42.26,92.77,74.30,45.00,7.42,2.54,0.00,0.00,0.00,0.00,0.00
Jan-15,63.55,54.22,44.16,51.68,49.14,46.16,96.84,81.22,54.74,8.48,3.08,0.19,0.00,0.00,0.00,0.00
Feb-15,78.11,66.19,53.46,58.14,54.73,50.29,91.00,69.02,41.50,8.75,4.11,0.36,0.00,0.00,0.00,0.00
Mar-15,81.61,71.73,61.19,64.58,60.95,57.45,94.19,71.63,46.16,11.55,5.08,0.71,0.00,0.00,0.00,0.00
Apr-15,93.63,82.11,67.60,69.30,65.13,60.77,80.53,58.31,34.93,15.60,5.60,0.67,0.00,0.00,0.00,0.00
May-15,104.29,93.01,80.55,68.03,62.96,57.48,60.35,40.66,24.29,11.71,5.47,0.58,0.00,0.00,0.00,0.00
Jun-15,99.57,90.65,81.67,74.90,71.73,66.17,75.50,57.04,39.70,11.47,5.65,1.07,1.01,0.13,0.00,0.00
Jul-15,92.77,86.82,81.29,79.06,77.23,75.32,86.32,74.17,58.74,9.26,5.08,1.13,0.00,0.00,0.00,0.00
Aug-15,93.26,87.01,81.42,79.68,77.81,75.55,88.58,75.31,60.32,6.77,2.86,0.19,0.00,0.00,0.00,0.00
Sep-15,95.97,87.96,80.10,74.47,70.41,65.53,78.87,59.14,41.20,10.47,4.61,0.33,1.01,0.43,0.00,0.00
Oct-15,92.58,80.32,65.84,70.71,67.39,63.55,86.26,65.13,41.13,10.26,2.79,0.00,0.00,0.00,0.00,0.00
Nov-15,82.77,69.69,60.17,63.07,59.40,55.80,91.00,72.65,45.50,4.73,1.31,0.00,0.00,0.00,0.00,0.00
Dec-15,72.61,59.06,49.29,54.55,50.86,47.35,95.32,77.10,47.32,6.84,2.36,0.10,0.00,0.00,0.00,0.00
Jan-16,69.52,58.19,49.84,56.16,52.55,48.87,98.19,83.66,57.74,5.71,2.29,0.32,0.00,0.00,0.00,1.14
Feb-16,77.24,64.12,52.00,56.34,53.30,49.83,92.97,70.40,41.48,7.86,3.09,0.31,0.00,0.00,0.00,0.00
Mar-16,87.97,75.60,64.48,64.26,61.27,57.61,88.65,64.71,38.97,8.58,3.82,0.29,0.00,0.00,0.00,0.00
Apr-16,100.27,86.93,70.23,62.57,56.65,49.33,59.87,37.97,19.33,15.00,5.35,0.53,0.00,0.00,0.00,0.00
May-16,102.77,91.31,75.06,71.42,67.27,62.94,68.32,46.86,28.87,16.00,5.37,0.74,0.00,0.00,0.00,0.00
Jun-16,102.10,93.14,84.30,78.97,75.46,70.10,76.77,58.59,40.90,11.60,5.15,1.07,0.00,0.00,0.00,0.00
Jul-16,92.06,86.67,81.97,81.16,79.08,74.58,91.19,79.73,64.65,7.71,3.22,0.35,0.98,0.12,0.00,0.00
Aug-16,93.10,85.73,76.26,80.32,78.38,74.39,89.90,77.94,59.10,10.29,3.90,0.74,0.00,0.00,0.00,0.00
Sep-16,94.23,86.41,77.67,77.20,74.84,72.03,85.30,68.72,49.63,12.87,4.40,0.70,0.00,0.00,0.00,0.00
Oct-16,92.29,79.26,65.61,69.58,67.13,63.87,87.35,66.94,40.32,8.55,2.85,0.06,0.00,0.00,0.00,0.00
Nov-16,84.33,68.41,57.13,59.37,55.16,51.37,89.50,67.04,35.07,7.40,2.70,0.50,0.00,0.00,0.00,0.00
Dec-16,73.94,59.99,49.19,56.45,52.48,47.87,95.87,78.71,46.68,7.35,2.53,0.39,0.94,0.12,0.00,0.00
Jan-17,69.35,57.78,48.97,56.81,52.66,48.42,99.45,84.73,57.39,11.42,3.72,0.48,0.00,0.00,0.00,0.00
Feb-17,77.43,64.75,54.64,56.82,53.51,49.64,94.39,71.03,41.18,10.89,4.59,0.68,0.00,0.00,0.00,0.00
Mar-17,86.32,73.96,62.32,59.71,55.44,49.84,82.71,56.62,31.13,11.55,5.25,0.71,0.00,0.00,0.00,0.00
Apr-17,100.17,87.05,74.50,63.30,57.60,51.73,62.03,40.16,21.67,12.40,5.71,0.77,0.00,0.00,0.00,0.00
May-17,102.03,90.72,78.16,70.26,65.44,59.87,67.45,45.95,27.06,12.19,4.73,0.61,0.00,0.00,0.00,0.00
Jun-17,98.37,89.99,81.50,78.30,72.11,63.73,78.60,59.44,39.43,10.80,4.82,0.67,0.00,0.00,0.00,0.00
Jul-17,94.39,87.32,79.48,80.74,78.48,74.39,89.32,75.67,58.29,8.52,4.31,0.90,0.00,0.00,0.00,0.00
Aug-17,93.35,86.86,81.65,80.13,77.53,73.42,88.45,75.59,59.55,9.87,4.86,1.52,0.00,0.00,0.00,0.00
Sep-17,93.20,84.73,75.80,76.77,74.44,71.57,89.17,72.19,51.20,9.30,3.43,0.13,0.00,0.00,0.00,0.00
Oct-17,93.48,79.39,69.00,69.23,65.92,61.45,90.77,67.47,35.10,5.10,1.25,0.00,0.00,0.00,0.00,0.00
Nov-17,80.73,65.74,52.53,59.80,55.47,49.90,92.47,71.71,36.77,9.60,1.94,0.00,0.00,0.00,0.00,0.00
Dec-17,74.32,59.80,47.19,55.10,50.00,45.52,94.16,72.36,38.10,13.10,3.27,0.29,0.00,0.00,0.00,0.00
Jan-18,70.90,56.25,43.39,52.68,48.85,43.90,98.97,78.10,41.35,12.13,3.92,0.55,0.00,0.00,0.00,0.00
Feb-18,78.39,64.83,54.29,55.64,52.31,47.54,92.71,68.39,36.61,8.39,2.99,0.18,0.00,0.00,0.00,0.00
Mar-18,90.32,76.39,64.19,60.10,55.93,49.16,80.55,53.97,25.81,9.52,3.58,0.00,0.93,0.13,0.00,0.00
Apr-18,98.10,85.62,73.60,63.87,58.57,52.00,68.57,44.35,24.63,9.83,3.92,0.40,0.00,0.00,0.00,0.00
May-18,103.32,90.95,78.68,69.03,63.77,56.97,63.65,44.25,25.19,10.00,3.79,0.35,0.00,0.00,0.00,0.00
Jun-18,102.00,93.87,86.27,77.20,74.36,70.87,70.93,55.20,40.23,12.13,6.00,1.43,0.00,0.00,0.00,0.00
Jul-18,94.48,87.66,79.48,81.23,79.05,74.84,91.16,76.62,59.68,7.58,3.43,0.32,0.00,0.00,0.00,0.07
Aug-18,92.77,86.85,81.97,81.26,78.86,74.87,91.48,78.45,63.16,11.23,3.97,0.61,0.00,0.00,0.00,0.00
Sep-18,89.90,82.33,71.87,77.33,74.97,72.43,93.07,77.99,57.37,9.43,3.96,0.60,0.00,0.00,0.00,0.00
Oct-18,90.65,77.45,66.90,66.97,63.88,58.90,89.87,66.60,35.71,5.06,1.45,0.06,0.96,0.12,0.00,0.00
Nov-18,81.33,67.40,54.50,60.67,57.20,53.73,92.33,70.80,38.63,8.73,2.85,0.47,1.00,0.13,0.00,0.00
Dec-18,72.00,56.77,45.19,54.81,49.94,45.55,98.16,80.41,45.77,7.87,2.03,0.06,0.94,0.14,0.00,0.00
Jan-19,69.06,56.30,46.61,55.00,50.83,46.06,99.26,83.64,55.74,8.77,3.12,0.39,0.00,0.00,0.00,0.01
Feb-19,70.96,60.83,52.68,58.61,55.01,51.32,98.43,82.75,57.68,10.11,4.44,0.39,0.00,0.00,0.00,0.00
Mar-19,82.52,70.44,59.19,60.58,56.85,52.45,90.52,66.52,39.26,12.19,4.13,0.48,0.00,0.00,0.00,0.00
Apr-19,98.67,85.96,73.30,67.43,62.98,57.87,73.37,49.92,28.43,10.73,4.69,0.57,1.92,0.24,0.00,0.02
May-19,102.35,89.68,77.68,70.68,65.87,60.71,71.06,49.24,30.45,11.16,5.27,0.77,0.00,0.00,0.00,0.00
Jun-19,104.07,94.33,84.17,74.47,70.67,65.97,67.50,48.97,32.57,10.13,5.18,1.30,0.00,0.00,0.00,0.00
Jul-19,95.03,88.35,82.52,80.52,78.27,75.74,87.52,73.87,58.45,8.45,4.64,1.19,0.00,0.00,0.00,0.00
Aug-19,93.81,87.11,81.65,81.00,78.96,75.77,90.74,77.86,60.87,7.61,4.14,1.29,0.00,0.00,0.00,0.00
Sep-19,93.47,86.00,77.90,79.07,77.15,72.97,89.57,75.21,55.07,9.87,3.98,0.97,1.01,0.13,0.00,0.04
Oct-19,89.48,78.05,69.29,68.94,66.48,63.16,90.26,69.85,41.94,5.58,2.21,0.06,0.00,0.00,0.00,0.06
Nov-19,81.20,68.90,58.97,63.77,59.73,56.37,91.73,73.95,45.77,6.37,2.65,0.53,0.00,0.00,0.00,0.00
Dec-19,64.16,53.81,44.29,53.45,49.82,46.68,98.87,85.74,60.94,10.68,3.27,0.71,0.00,0.00,0.00,0.04
Jan-20,66.35,55.90,47.90,54.45,50.74,46.94,99.26,84.92,59.03,7.03,3.34,0.68,0.00,0.00,0.00,0.05
Feb-20,74.86,62.22,52.03,58.48,54.33,50.52,97.79,78.31,51.03,8.21,3.92,1.10,0.00,0.00,0.00,0.00
Mar-20,82.13,70.83,61.10,65.29,61.72,58.26,97.74,76.13,49.90,7.74,3.67,0.71,0.00,0.00,0.00,0.13
Apr-20,94.57,82.14,70.07,67.20,63.64,59.63,81.20,56.84,34.73,7.97,3.89,0.80,0.00,0.00,0.00,0.04
May-20,101.74,89.20,77.00,70.32,65.35,58.16,72.58,50.42,29.13,8.35,4.66,1.16,0.00,0.00,0.00,0.03
Jun-20,99.80,91.11,82.47,80.13,77.48,74.83,84.63,66.16,48.03,9.03,4.74,1.63,0.00,0.00,0.00,0.11
Jul-20,95.97,88.34,81.39,82.48,80.15,77.77,91.29,77.27,59.39,7.52,4.63,1.77,0.00,0.00,0.00,0.29
Aug-20,92.87,86.59,81.61,81.68,79.92,78.26,92.81,81.35,66.81,8.06,4.74,1.68,0.00,0.00,0.00,0.30
Sep-20,96.35,87.76,80.58,78.42,76.46,74.16,87.68,70.80,51.16,6.39,3.05,0.39,0.00,0.00,0.00,0.03
Oct-20,93.13,77.65,65.58,66.61,63.29,60.16,88.84,65.25,35.45,4.81,1.56,0.00,0.00,0.00,0.00,0.00
Nov-20,79.87,64.49,53.80,59.67,55.14,51.37,95.80,75.22,45.27,5.63,1.86,0.00,0.00,0.00,0.00,0.00
Dec-20,72.45,57.31,45.90,55.39,50.30,45.94,98.10,79.71,48.10,11.23,3.01,0.19,0.00,0.00,0.00,0.00
Jan-21,65.39,54.05,44.19,54.39,50.46,44.90,99.61,84.76,58.16,13.19,4.48,0.48,0.00,0.00,0.00,0.14
Feb-21,81.36,65.55,53.54,61.64,57.38,52.86,99.00,78.90,46.29,6.54,2.22,0.00,0.00,0.00,0.00,0.00
Mar-21,90.61,77.07,65.39,64.03,60.92,57.19,85.16,61.22,36.90,8.16,4.02,0.48,0.00,0.00,0.00,0.02
Apr-21,98.50,83.47,68.57,60.60,56.96,52.67,67.43,44.16,24.23,9.47,4.28,0.60,0.00,0.00,0.00,0.00
May-21,98.13,86.11,71.48,69.61,65.68,57.94,74.10,53.59,30.55,8.42,4.26,0.45,0.00,0.00,0.00,0.19
Jun-21,99.87,90.48,80.93,76.73,73.18,68.80,79.70,59.26,39.90,8.73,4.54,1.33,0.00,0.00,0.00,0.05
Jul-21,96.19,88.62,81.81,79.97,77.91,75.68,88.19,73.54,58.00,7.77,4.18,0.68,0.00,0.00,0.00,0.63
Aug-21,93.81,87.60,82.16,80.00,77.94,76.03,87.13,74.53,60.00,8.26,3.97,0.48,0.00,0.00,0.00,0.27
Sep-21,91.13,83.84,76.03,80.13,78.13,76.00,93.80,82.66,66.40,7.07,3.18,0.37,0.00,0.00,0.00,0.55
Oct-21,89.71,78.65,70.23,70.48,67.69,64.23,91.61,72.13,46.23,6.87,2.55,0.00,0.00,0.00,0.00,0.16
Nov-21,80.87,65.78,55.80,61.90,56.60,52.57,94.17,75.60,41.73,6.33,1.71,0.10,0.00,0.00,0.00,0.00
Dec-21,70.97,57.97,48.81,54.23,50.19,46.42,95.77,78.31,47.45,5.39,1.66,0.16,0.00,0.00,0.00,0.01
Jan-22,63.61,55.02,48.19,52.74,50.02,46.81,97.74,85.03,63.65,6.77,2.94,0.45,0.00,0.00,0.00,0.11
Feb-22,74.43,62.24,51.86,55.18,51.22,46.07,94.82,71.33,37.75,8.00,3.51,0.39,0.00,0.00,0.00,0.04
Mar-22,90.39,77.11,65.42,64.55,60.26,53.77,86.74,61.23,31.06,8.35,3.49,0.23,0.00,0.00,0.00,0.00
Apr-22,103.60,87.93,73.40,63.70,57.45,49.37,65.33,40.33,16.87,8.07,3.36,0.10,0.40,0.05,0.00,0.00
May-22,102.48,91.41,79.90,73.48,68.85,63.39,72.97,50.96,31.39,8.48,4.59,1.39,0.00,0.00,0.00,0.06
Jun-22,102.53,92.93,83.53,73.67,68.66,63.97,68.03,50.04,34.20,9.93,5.42,1.43,0.00,0.00,0.00,0.03
Jul-22,94.23,87.45,81.74,81.58,79.58,77.84,91.42,78.49,63.77,7.61,3.77,0.65,0.00,0.00,0.00,0.36
Aug-22,92.77,87.00,81.71,80.52,78.67,76.84,90.29,77.14,62.16,7.74,4.30,0.94,0.00,0.00,0.00,0.05
Sep-22,91.73,84.91,79.00,78.27,76.44,74.10,92.00,77.60,60.93,6.97,3.47,0.37,0.00,0.00,0.00,0.22
Oct-22,86.94,76.85,68.55,70.94,67.50,62.00,94.77,76.32,50.39,5.84,2.25,0.35,0.00,0.00,0.00,0.16
Nov-22,82.07,68.00,57.83,61.43,57.45,53.93,93.43,72.45,39.70,7.67,1.86,0.00,0.00,0.00,0.00,0.00
Dec-22,72.87,58.61,48.68,54.39,49.84,44.81,96.13,76.11,43.23,6.61,2.40,0.16,0.00,0.00,0.00,0.14
Jan-23,66.10,55.39,46.90,51.65,48.46,44.55,96.58,80.26,55.00,6.23,2.60,0.35,0.95,0.12,0.00,0.03
Feb-23,81.00,67.26,55.57,58.00,53.92,48.89,91.07,66.46,35.57,8.46,3.84,0.71,0.00,0.00,0.00,0.00
Mar-23,85.35,73.52,63.61,63.00,60.12,56.35,89.81,66.62,39.71,7.77,2.79,0.10,0.00,0.00,0.00,0.06
Apr-23,93.77,81.63,70.00,63.50,59.51,54.63,74.47,51.11,29.07,8.27,3.22,0.07,0.00,0.00,0.00,0.03
May-23,96.48,85.42,74.61,70.77,67.29,63.16,80.19,58.85,38.81,9.55,4.27,0.45,0.93,0.12,0.00,0.14
Jun-23,97.13,88.75,80.70,77.67,74.86,70.17,83.33,66.40,48.73,9.60,4.53,0.60,0.00,0.00,0.00,0.13
Jul-23,92.71,86.78,81.58,81.81,79.99,78.26,93.16,81.26,67.65,6.42,3.16,0.58,0.00,0.00,0.00,0.48
Aug-23,94.06,88.10,82.23,79.35,77.38,75.42,85.10,71.63,58.74,9.61,5.63,2.00,0.00,0.00,0.00,0.12
Sep-23,94.13,86.32,79.60,78.27,75.99,73.53,90.23,73.29,54.77,7.33,3.28,0.27,0.00,0.00,0.00,0.11
Oct-23,90.81,78.02,67.61,68.45,65.26,60.65,92.39,68.28,38.84,6.19,1.90,0.00,0.00,0.00,0.00,0.01
Nov-23,80.33,67.61,58.33,64.30,60.60,57.27,98.27,80.85,52.30,3.40,0.75,0.00,0.00,0.00,0.00,0.02
Dec-23,72.43,58.81,48.23,57.20,52.82,48.70,99.17,82.71,51.47,7.70,1.60,0.00,0.00,0.00,0.00,0.00
Jan-24,62.06,52.45,45.48,50.65,47.62,44.23,98.48,85.23,61.84,4.68,1.87,0.16,0.00,0.00,0.00,0.00
Feb-24,74.28,61.70,51.55,54.52,50.88,46.00,94.38,72.36,41.41,6.24,2.57,0.28,0.00,0.00,0.00,0.05
Mar-24,85.39,72.48,60.48,60.94,56.44,50.84,88.97,61.71,32.35,8.13,3.28,0.32,0.00,0.00,0.00,0.01
Apr-24,96.39,83.51,71.61,64.11,60.18,55.79,73.29,48.99,27.46,8.00,3.20,0.14,0.00,0.00,0.00,0.01
May-24,105.81,92.87,80.19,70.23,65.42,59.10,64.32,43.67,24.13,7.55,3.38,0.68,0.00,0.00,0.00,0.00
Jun-24,105.57,95.46,85.87,74.90,71.08,67.07,66.23,49.40,33.60,10.13,5.02,0.73,0.00,0.00,0.00,0.32
Jul-24,95.35,88.63,82.68,83.00,81.26,79.29,93.06,79.32,62.23,6.26,2.78,0.32,0.00,0.00,0.00,0.26
Aug-24,91.81,85.69,80.58,81.74,80.26,78.61,96.29,84.59,69.65,7.16,3.10,0.42,0.00,0.00,0.00,0.50
Sep-24,91.50,84.23,78.57,79.97,77.60,73.50,95.20,82.05,61.70,6.10,2.41,0.13,0.00,0.00,0.00,0.25
Oct-24,94.10,81.21,71.74,72.35,69.26,65.26,91.84,70.06,41.52,6.06,1.84,0.00,0.00,0.00,0.00,0.00
Nov-24,83.83,69.31,59.73,66.30,61.45,57.57,96.60,78.97,49.30,4.57,1.16,0.00,0.00,0.00,0.00,0.00
Dec-24,71.19,57.56,48.19,53.52,49.25,45.32,97.19,78.19,47.13,4.42,1.40,0.06,0.00,0.00,0.00,0.07